Table Name:,2008 VBT Male Limited Underwriting NS ANB,,,,,,,,,,,,,,,,,,,,,,,,
2,0.00026,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093
3,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088
4,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087
5,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086
6,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087
7,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088
8,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088,0.0009
9,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088,0.0009,0.00093
10,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088,0.0009,0.00093,0.00097
11,9E-05,0.00013,0.00021,0.00033,0.00045,0.00057,0.00068,0.00078,0.00085,0.00093,0.001,0.00104,0.00104,0.001,0.00096,0.00091,0.00087,0.00085,0.00085,0.00085,0.00086,0.00088,0.00092,0.00096,0.00102
12,0.00012,0.0002,0.00031,0.00044,0.00055,0.00066,0.00075,0.00082,0.0009,0.00097,0.00101,0.00101,0.00098,0.00094,0.00089,0.00085,0.00083,0.00083,0.00083,0.00085,0.00087,0.0009,0.00095,0.00101,0.00107
13,0.00019,0.0003,0.00042,0.00053,0.00063,0.00072,0.00079,0.00087,0.00093,0.00097,0.00098,0.00095,0.00092,0.00087,0.00083,0.00081,0.00081,0.00082,0.00083,0.00085,0.00089,0.00093,0.00099,0.00106,0.00113
14,0.00029,0.0004,0.0005,0.00061,0.00069,0.00076,0.00083,0.0009,0.00093,0.00094,0.00092,0.00089,0.00084,0.00081,0.0008,0.00079,0.0008,0.00081,0.00083,0.00086,0.00091,0.00097,0.00103,0.00111,0.00119
15,0.00038,0.00048,0.00057,0.00066,0.00073,0.0008,0.00086,0.00089,0.0009,0.00088,0.00084,0.00082,0.00079,0.00078,0.00078,0.00078,0.00079,0.00081,0.00084,0.00089,0.00094,0.00101,0.00108,0.00116,0.00126
16,0.00046,0.00054,0.00062,0.00069,0.00076,0.00082,0.00085,0.00085,0.00084,0.00081,0.00077,0.00076,0.00075,0.00076,0.00076,0.00077,0.00079,0.00082,0.00087,0.00092,0.00098,0.00105,0.00113,0.00122,0.00132
17,0.00052,0.00058,0.00065,0.00072,0.00078,0.00082,0.00082,0.00079,0.00077,0.00074,0.00071,0.00072,0.00073,0.00074,0.00075,0.00077,0.0008,0.00084,0.00089,0.00095,0.00102,0.0011,0.00119,0.00129,0.0014
18,0.00074,0.0008,0.00089,0.00097,0.00102,0.00103,0.00098,0.00096,0.00092,0.00088,0.00088,0.00091,0.00091,0.00094,0.00096,0.001,0.00105,0.00111,0.00118,0.00126,0.00134,0.00145,0.00157,0.0017,0.00186
19,0.00081,0.00087,0.00096,0.00101,0.00101,0.001,0.00095,0.0009,0.00087,0.00087,0.00087,0.00091,0.00093,0.00097,0.001,0.00105,0.00111,0.00118,0.00125,0.00132,0.00143,0.00154,0.00166,0.0018,0.00198
20,0.00089,0.00094,0.00098,0.001,0.00099,0.00095,0.00089,0.00086,0.00085,0.00088,0.00088,0.00093,0.00096,0.00101,0.00106,0.00111,0.00118,0.00124,0.00132,0.0014,0.0015,0.00163,0.00176,0.00193,0.00212
21,0.00094,0.00097,0.00097,0.00096,0.00094,0.00089,0.00085,0.00084,0.00085,0.00088,0.0009,0.00095,0.00101,0.00106,0.00111,0.00118,0.00124,0.00131,0.0014,0.00148,0.00158,0.00171,0.00187,0.00205,0.00224
22,0.00096,0.00093,0.00092,0.00091,0.00089,0.00084,0.00082,0.00082,0.00085,0.00089,0.0009,0.00098,0.00106,0.00112,0.00118,0.00124,0.00131,0.00137,0.00146,0.00156,0.00168,0.00183,0.002,0.00218,0.00239
23,0.00095,0.00088,0.00087,0.00086,0.00083,0.00082,0.00081,0.00082,0.00084,0.00089,0.00094,0.00103,0.00111,0.00118,0.00126,0.00132,0.00138,0.00146,0.00155,0.00165,0.00178,0.00194,0.0021,0.0023,0.00254
24,0.00088,0.00081,0.0008,0.00078,0.0008,0.0008,0.0008,0.00081,0.00083,0.00091,0.00099,0.00108,0.00118,0.00125,0.00133,0.00139,0.00146,0.00154,0.00164,0.00175,0.0019,0.00204,0.00223,0.00244,0.0027
25,0.00072,0.00073,0.00074,0.00076,0.00077,0.00078,0.00079,0.00079,0.00083,0.00093,0.00104,0.00115,0.00124,0.00133,0.0014,0.00147,0.00154,0.00164,0.00173,0.00184,0.00199,0.00217,0.00237,0.00261,0.00289
26,0.00063,0.00066,0.0007,0.00071,0.00074,0.00075,0.00076,0.00076,0.00085,0.00096,0.00105,0.00117,0.00127,0.00137,0.00145,0.00153,0.00161,0.00172,0.00183,0.00197,0.00213,0.00232,0.00254,0.00279,0.0031
27,0.00057,0.0006,0.00065,0.00068,0.00072,0.00073,0.00075,0.00079,0.00088,0.00098,0.00108,0.0012,0.00132,0.00141,0.00151,0.0016,0.0017,0.00182,0.00196,0.00212,0.00228,0.0025,0.00273,0.003,0.00334
28,0.00054,0.00058,0.00064,0.00066,0.00069,0.00071,0.00073,0.0008,0.00089,0.00101,0.00113,0.00126,0.00139,0.0015,0.00159,0.0017,0.00182,0.00195,0.00211,0.00228,0.00247,0.0027,0.00294,0.00324,0.00358
29,0.00048,0.00056,0.00062,0.00067,0.0007,0.0007,0.00075,0.00083,0.00092,0.00103,0.00118,0.00131,0.00146,0.00158,0.00169,0.00181,0.00195,0.0021,0.00227,0.00245,0.00267,0.00291,0.00317,0.00348,0.00388
30,0.00044,0.00055,0.00064,0.0007,0.00073,0.00073,0.00077,0.00085,0.00095,0.00108,0.00126,0.00141,0.00156,0.00169,0.00181,0.00195,0.00209,0.00228,0.00246,0.00265,0.00288,0.00314,0.00342,0.00375,0.00417
31,0.00039,0.00055,0.00065,0.00073,0.00074,0.00076,0.0008,0.00088,0.00101,0.00116,0.00133,0.00152,0.00167,0.00183,0.00197,0.00211,0.00228,0.00247,0.00268,0.0029,0.00313,0.0034,0.0037,0.00406,0.00453
32,0.00039,0.00058,0.00068,0.00074,0.00077,0.00077,0.00083,0.00093,0.00109,0.00127,0.00145,0.00164,0.00181,0.00197,0.00213,0.00229,0.00247,0.00269,0.00291,0.00315,0.0034,0.00367,0.00399,0.00439,0.00491
33,0.00042,0.00059,0.0007,0.00077,0.0008,0.0008,0.00088,0.00101,0.00118,0.00138,0.00159,0.00179,0.00195,0.00214,0.00232,0.0025,0.0027,0.00292,0.00318,0.00342,0.00369,0.00399,0.00432,0.00475,0.00533
34,0.00044,0.00062,0.00075,0.0008,0.00081,0.00087,0.00096,0.00109,0.00127,0.0015,0.00171,0.00194,0.00214,0.00232,0.00252,0.00274,0.00296,0.00321,0.00347,0.00374,0.00401,0.00432,0.00468,0.00517,0.00582
35,0.00047,0.00066,0.00077,0.00084,0.00087,0.00095,0.00104,0.00121,0.00142,0.00163,0.00187,0.0021,0.00231,0.00253,0.00276,0.00298,0.00326,0.00351,0.00378,0.00406,0.00435,0.00468,0.00508,0.00563,0.00634
36,0.00048,0.00068,0.00081,0.00088,0.00094,0.00102,0.00117,0.00134,0.00155,0.00178,0.00203,0.00227,0.00252,0.00277,0.00302,0.00328,0.00355,0.00384,0.00413,0.00441,0.00473,0.00508,0.00554,0.00613,0.00696
37,0.00051,0.00072,0.00086,0.00094,0.00101,0.00113,0.00126,0.00147,0.00168,0.00195,0.00221,0.00249,0.00275,0.00302,0.00331,0.00359,0.00389,0.00419,0.0045,0.0048,0.00513,0.00553,0.00603,0.00671,0.00763
38,0.00053,0.00075,0.0009,0.00101,0.00111,0.00124,0.0014,0.0016,0.00185,0.00213,0.00241,0.0027,0.003,0.0033,0.0036,0.00393,0.00424,0.00457,0.00489,0.00522,0.00558,0.00603,0.00661,0.00737,0.00839
39,0.00056,0.0008,0.00094,0.0011,0.00121,0.00137,0.00153,0.00176,0.00202,0.00231,0.00262,0.00294,0.00326,0.00359,0.00394,0.00428,0.00464,0.00497,0.00533,0.00567,0.00608,0.00658,0.00723,0.00811,0.00926
40,0.00057,0.00084,0.00102,0.00117,0.00133,0.0015,0.0017,0.00192,0.00221,0.00252,0.00284,0.0032,0.00355,0.00393,0.0043,0.00467,0.00504,0.00542,0.00579,0.00617,0.00663,0.0072,0.00796,0.00895,0.01022
41,0.0006,0.00089,0.00109,0.00128,0.00147,0.00164,0.00186,0.00211,0.00242,0.00272,0.00309,0.00347,0.00387,0.00428,0.00467,0.00509,0.00548,0.00589,0.00629,0.00671,0.00725,0.0079,0.00876,0.00988,0.01131
42,0.00062,0.00093,0.00118,0.0014,0.00161,0.00182,0.00204,0.0023,0.00261,0.00297,0.00335,0.00378,0.00422,0.00465,0.00509,0.00552,0.00595,0.00638,0.00683,0.00733,0.00793,0.0087,0.00967,0.01094,0.01253
43,0.00065,0.00099,0.00128,0.00154,0.00177,0.00199,0.00223,0.00251,0.00285,0.00323,0.00364,0.00411,0.00457,0.00504,0.00552,0.006,0.00647,0.00695,0.00744,0.00801,0.00869,0.00958,0.01072,0.01213,0.01389
44,0.00068,0.00105,0.00138,0.00168,0.00192,0.00217,0.00243,0.00272,0.0031,0.00351,0.00396,0.00446,0.00495,0.00548,0.00598,0.00651,0.00702,0.00753,0.00811,0.00875,0.00957,0.0106,0.01188,0.01349,0.01542
45,0.00071,0.00114,0.00149,0.00181,0.0021,0.00236,0.00263,0.00296,0.00335,0.00381,0.00429,0.00482,0.00537,0.00592,0.00649,0.00704,0.00761,0.0082,0.00885,0.00961,0.01055,0.01172,0.01319,0.01498,0.01712
46,0.00075,0.00122,0.00163,0.00198,0.00227,0.00254,0.00284,0.00319,0.00361,0.00407,0.0046,0.00518,0.00579,0.00638,0.00699,0.00759,0.00821,0.00887,0.00964,0.01052,0.01162,0.01299,0.01465,0.01664,0.019
47,0.00081,0.00132,0.00178,0.00214,0.00244,0.00273,0.00305,0.00341,0.00387,0.00438,0.00495,0.00556,0.00623,0.00687,0.00753,0.0082,0.00889,0.00966,0.01052,0.01157,0.01285,0.0144,0.01629,0.0185,0.0211
48,0.00087,0.00146,0.00192,0.00231,0.00262,0.00294,0.00327,0.00366,0.00415,0.00471,0.00533,0.00599,0.00669,0.0074,0.00812,0.00887,0.00964,0.01051,0.01153,0.01275,0.01423,0.016,0.01814,0.02057,0.02344
49,0.00096,0.00159,0.00209,0.0025,0.00284,0.00315,0.00352,0.00394,0.00446,0.00506,0.00574,0.00645,0.0072,0.00797,0.00876,0.00962,0.01046,0.01148,0.01268,0.01409,0.01578,0.0178,0.0202,0.02287,0.02602
50,0.00104,0.00174,0.00228,0.00269,0.00305,0.00341,0.00378,0.00423,0.0048,0.00545,0.00618,0.00697,0.00778,0.00862,0.00951,0.01044,0.01142,0.01261,0.01396,0.01558,0.01752,0.01982,0.02248,0.02543,0.02888
51,0.00114,0.00189,0.00247,0.00293,0.0033,0.00366,0.00409,0.00457,0.00518,0.00588,0.00669,0.00752,0.00842,0.00935,0.01032,0.01138,0.0125,0.01386,0.01543,0.0173,0.01949,0.02206,0.02503,0.02825,0.03203
52,0.00128,0.00209,0.00268,0.00316,0.00356,0.00397,0.00441,0.00492,0.0056,0.00637,0.00724,0.00816,0.00912,0.01016,0.01126,0.01247,0.01373,0.0153,0.01709,0.01921,0.0217,0.02456,0.02785,0.03134,0.03549
53,0.00143,0.00227,0.00291,0.00343,0.00386,0.00428,0.00478,0.00535,0.00608,0.00691,0.00788,0.00888,0.00994,0.01108,0.01232,0.01368,0.01514,0.01692,0.01897,0.02138,0.02417,0.02734,0.03097,0.03477,0.03928
54,0.00161,0.00249,0.00315,0.00371,0.00417,0.00464,0.00519,0.0058,0.00662,0.00751,0.00859,0.00969,0.01086,0.01214,0.01353,0.0151,0.01674,0.01876,0.02111,0.02381,0.0269,0.03042,0.0344,0.03852,0.04343
55,0.00179,0.00272,0.00342,0.00402,0.00453,0.00507,0.00565,0.00635,0.00723,0.00822,0.00941,0.0106,0.01193,0.01335,0.01492,0.01671,0.01855,0.02085,0.02349,0.02651,0.02993,0.03382,0.03816,0.0426,0.04793
56,0.00198,0.003,0.00372,0.00438,0.00495,0.00552,0.00619,0.00695,0.00791,0.00901,0.01033,0.01166,0.01313,0.01474,0.01652,0.01853,0.02061,0.0232,0.02616,0.02951,0.0333,0.03753,0.04227,0.04702,0.05281
57,0.00222,0.00327,0.00407,0.00477,0.00542,0.00605,0.0068,0.00762,0.00872,0.00992,0.0114,0.01287,0.01451,0.01631,0.01833,0.0206,0.02293,0.02584,0.02913,0.03282,0.03699,0.04159,0.04674,0.05181,0.05832
58,0.00246,0.00358,0.00443,0.00523,0.00595,0.00665,0.00749,0.0084,0.0096,0.01095,0.0126,0.01425,0.01608,0.01812,0.02038,0.02295,0.02553,0.02877,0.0324,0.03646,0.04099,0.04599,0.05154,0.05719,0.06425
59,0.00272,0.00393,0.00486,0.00573,0.00653,0.00734,0.00826,0.00928,0.01063,0.01213,0.01397,0.01583,0.01788,0.02015,0.02271,0.02556,0.02842,0.03199,0.03599,0.04042,0.04532,0.05072,0.05693,0.06297,0.07057
60,0.00302,0.0043,0.00533,0.00631,0.00721,0.00812,0.00917,0.01027,0.01178,0.01345,0.01552,0.01759,0.01989,0.02244,0.02529,0.02849,0.0316,0.03555,0.0399,0.04469,0.04999,0.05602,0.06272,0.06907,0.07726
61,0.00333,0.00472,0.00587,0.00697,0.00798,0.00899,0.01016,0.0114,0.01309,0.01495,0.01728,0.01958,0.02216,0.025,0.02816,0.03171,0.03509,0.03942,0.04413,0.0493,0.0552,0.06166,0.06881,0.07559,0.08575
62,0.00366,0.00521,0.00648,0.00771,0.00885,0.00999,0.01128,0.01266,0.01454,0.01662,0.01924,0.02181,0.02466,0.02783,0.03134,0.03525,0.03889,0.04356,0.04867,0.05443,0.06073,0.0676,0.07519,0.08427,0.09503
63,0.00407,0.00576,0.00715,0.00854,0.00985,0.01112,0.01255,0.01407,0.01616,0.01849,0.02141,0.02428,0.02745,0.03094,0.03481,0.03908,0.04299,0.04802,0.05371,0.05986,0.06656,0.07381,0.08398,0.09374,0.105
64,0.00449,0.00638,0.00794,0.00949,0.01097,0.01235,0.01395,0.01562,0.01796,0.02053,0.02383,0.027,0.03051,0.03436,0.03858,0.0432,0.04741,0.05299,0.05905,0.06556,0.07263,0.08264,0.09354,0.10399,0.11595
65,0.005,0.00707,0.00885,0.01051,0.01211,0.01372,0.0154,0.01741,0.02008,0.023,0.0262,0.02968,0.03351,0.03769,0.04223,0.04716,0.05268,0.05862,0.06494,0.07168,0.08142,0.09192,0.10315,0.11522,0.12761
66,0.00555,0.00787,0.00982,0.0117,0.01358,0.01543,0.01734,0.01964,0.02262,0.02587,0.02942,0.03326,0.03746,0.042,0.04693,0.05243,0.05831,0.06458,0.07119,0.08089,0.09136,0.10259,0.11463,0.12725,0.13933
67,0.0062,0.00875,0.01089,0.01306,0.0152,0.01731,0.01952,0.0221,0.02543,0.02903,0.03293,0.03718,0.04175,0.04667,0.05216,0.05804,0.06425,0.07079,0.08046,0.09093,0.10212,0.11421,0.12693,0.13933,0.15634
68,0.00693,0.00978,0.0121,0.01456,0.01698,0.0194,0.02191,0.02483,0.02851,0.0325,0.0368,0.04142,0.04637,0.05187,0.05775,0.06397,0.07046,0.08017,0.09063,0.10182,0.11398,0.12678,0.13933,0.15634,0.17428
69,0.0078,0.01092,0.01346,0.01622,0.01897,0.02171,0.02454,0.02781,0.03189,0.03626,0.04096,0.04595,0.05149,0.05741,0.06363,0.07013,0.07991,0.09039,0.10164,0.11384,0.1267,0.13933,0.15634,0.17428,0.1931
70,0.00878,0.01222,0.01493,0.01805,0.02116,0.02423,0.02742,0.03105,0.03555,0.04032,0.04541,0.05103,0.05698,0.06323,0.06976,0.07965,0.09026,0.10152,0.11375,0.12667,0.13933,0.15634,0.17428,0.1931,0.21146
71,0.0099,0.01366,0.01658,0.02008,0.02353,0.02697,0.03056,0.03459,0.0395,0.04468,0.0504,0.05643,0.06274,0.06933,0.0794,0.0901,0.10149,0.11375,0.12676,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767
72,0.01118,0.01526,0.01838,0.02226,0.02611,0.02995,0.03393,0.03839,0.04372,0.04954,0.05568,0.0621,0.06874,0.07908,0.08993,0.10146,0.11376,0.12679,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548
73,0.01259,0.01703,0.02034,0.02463,0.0289,0.03318,0.03756,0.04245,0.04843,0.05469,0.06124,0.06802,0.07862,0.08973,0.10136,0.1138,0.12688,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295
74,0.01419,0.01898,0.02246,0.0272,0.03192,0.03662,0.04145,0.04699,0.05344,0.0601,0.06702,0.07805,0.08948,0.10133,0.11387,0.12702,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365
75,0.01596,0.02113,0.02476,0.02994,0.03514,0.0403,0.04578,0.05181,0.05868,0.06575,0.07727,0.08907,0.10119,0.11392,0.12713,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699
76,0.01791,0.02349,0.02722,0.0329,0.03857,0.04437,0.05035,0.05687,0.06414,0.07624,0.0885,0.10102,0.11394,0.12719,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015
77,0.02009,0.02603,0.02986,0.03603,0.04236,0.04868,0.05515,0.06211,0.07496,0.08781,0.1007,0.11389,0.12733,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212
78,0.02244,0.02879,0.03264,0.03952,0.04635,0.05318,0.06013,0.0733,0.08688,0.1003,0.11386,0.12738,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218
79,0.02505,0.03176,0.03574,0.04315,0.05052,0.05779,0.07181,0.08569,0.09979,0.11371,0.12741,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926
80,0.02787,0.0351,0.03901,0.04697,0.05478,0.07015,0.08476,0.09914,0.11359,0.12748,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034
81,0.03108,0.03869,0.0434,0.05084,0.06794,0.08382,0.09877,0.11341,0.12756,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585
82,0.03456,0.04244,0.04786,0.06508,0.08261,0.0986,0.11361,0.12765,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269
83,0.03834,0.04545,0.06154,0.08105,0.09846,0.11414,0.12813,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716
84,0.04244,0.05796,0.07925,0.09832,0.11493,0.12889,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716,0.44263
85,0.04682,0.07112,0.09868,0.11629,0.13017,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716,0.44263,0.44692
86,0.05156,0.08579,0.11887,0.13236,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716,0.44263,0.44692,0.45
87,0.05664,0.10119,0.13646,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716,0.44263,0.44692,0.45,0.45
88,0.06207,0.11387,0.13933,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716,0.44263,0.44692,0.45,0.45,0.45
89,0.06788,0.11841,0.15634,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716,0.44263,0.44692,0.45,0.45,0.45,0.45
90,0.07422,0.14268,0.17428,0.1931,0.21146,0.22767,0.24548,0.26295,0.28365,0.30699,0.33015,0.35212,0.37218,0.38926,0.4034,0.41585,0.4269,0.43716,0.44263,0.44692,0.45,0.45,0.45,0.45,0.45

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Limited Underwriting Table - Male, Nonsmoker, Age Nearest Birthday, Ultimate",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
