Table Name:,"1955-60 Basic Table -  Male, ANB",,,,,,,,,,,,,,
Table Identity:,355,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,
Provider Name:,Roger Scott Lumsden,,,,,,,,,,,,,,
Table Reference:,"Committee on Mortality, “II. 1955-1960 Basic Tables”, Transaction of the Society of Actuaries - 1962 Reports, Society of Actuaries (1962). Accessed: March, 2013 from http://www.soa.org/library/research/transactions-reports-of-mortality-moribidity-and-experience/1960-69/1962/january/tsr623.aspx",,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,
Table Description:,1955-60 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Select Age: 10-14. Maximum Select Age: 70 and Over. Minimum Ultimate Age: 15. Maximum Ultimate Age: 95,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,
Comments:,"Study Data: Sixteen companies contributed data of which 14 contributed to sex-distinct experience for the select period while only six companies were able to contribute to the sex-distinct ultimate experience. Select period rates are based on the experience of the first 15 policy years between 1955 and 1960 policy anniversaries; ultimate experience by sex was available only between 1957 and 1960 policy anniversaries. For the younger issue age groups, both medical and nonmedical issues were included to obtain a larger volume of data. The ultimate tables at all ages are based on the experience under medical and nonmedical issues combined. Only the select tables for issue ages 25 and over are based on the experience under medical issues exclusively. It should be noted that as the select and ultimate tables were derived from different bodies of data and underwritten in different periods, that the ultimate rates do not necessarily represent the level to which the select rates will rise after the effects of selection have worn off. Methodology: The basic formula used in the graduation of the select tables was a Whittaker-Henderson second difference Type A formula for age groups 10-14 to 65-69. Because of the small amount of data available, age group 70 and over was graduated separately. Where necessary, the graduated rates were further adjusted empirically and by linear transformations to prevent them from exceeding the ultimate rates and to improve the fit. These adjustments occurred mainly at the younger ages. For ages 70 and over, rates were extrapolated from ratios for age groups 60-64 and 65-69. These ratios were graduated graphically and applied to the ultimate rates. The resulting rates were lowered at the later durations to improve the fit. For the sex-distinct tables, the same techniques were used for the males with final adjustments to make the male rates higher than the rates for both sexes combined in the corresponding age-duration cells. For the females however, due to the small amount of claims, it was necessary to give greater emphasis to smoothness than in either the combined or male table. As it was impossible to graduate the crude female data for ages 70 and above due to the virtual non-existence of claims, the rates were obtained by applying percentages ranging from 50 per cent in the first policy year to 70 per cent in the 15th policy year to the male rates for these older ages. Select rates were developed in quinquennial age groups. The select table is coded with the value applying to the central age in the range. Data Transcription Errors: None. Data Certified: 03/2013",,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,
Table Description:,1955-60 Basic Table – Male. Basis: Age Nearest Birthday. Minimum Select Age: 10-14. Maximum Select Age: 70 and Over.,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",12,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",72,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",5,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
12,0.00045,0.00053,0.00065,0.00073,0.00082,0.00088,0.00094,0.00099,0.00104,0.00106,0.00110,0.00112,0.00116,0.00118,0.00121
17,0.00080,0.00094,0.00101,0.00101,0.00102,0.00102,0.00104,0.00107,0.00109,0.00112,0.00112,0.00112,0.00113,0.00115,0.00122
22,0.00070,0.00075,0.00081,0.00084,0.00084,0.00084,0.00086,0.00090,0.00095,0.00101,0.00107,0.00116,0.00128,0.00141,0.00152
27,0.00053,0.00066,0.00081,0.00085,0.00087,0.00090,0.00096,0.00105,0.00118,0.00133,0.00150,0.00174,0.00197,0.00219,0.00245
32,0.00062,0.00076,0.00093,0.00104,0.00113,0.00130,0.00146,0.00172,0.00200,0.00232,0.00263,0.00296,0.00338,0.00395,0.00456
37,0.00092,0.00118,0.00150,0.00174,0.00199,0.00227,0.00261,0.00294,0.00334,0.00383,0.00437,0.00494,0.00546,0.00622,0.00726
42,0.00152,0.00204,0.00249,0.00296,0.00332,0.00391,0.00436,0.00486,0.00540,0.00610,0.00692,0.00772,0.00874,0.00977,0.01065
47,0.00215,0.00297,0.00382,0.00456,0.00522,0.00597,0.00690,0.00766,0.00835,0.00925,0.01044,0.01184,0.01370,0.01570,0.01782
