Table Name:,2008 VBT Male Limited Underwriting SM ANB,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00062,0.00038,0.00026,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102
1,0.00038,0.00026,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098
2,0.00026,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093
3,0.00021,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088
4,0.00017,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087
5,0.00015,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086
6,0.00014,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087
7,0.00013,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088
8,0.00011,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088,0.0009
9,0.0001,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088,0.0009,0.00093
10,9E-05,9E-05,0.00013,0.00022,0.00034,0.00047,0.00059,0.00071,0.0008,0.00088,0.00096,0.00103,0.00106,0.00106,0.00102,0.00098,0.00093,0.00088,0.00087,0.00086,0.00087,0.00088,0.0009,0.00093,0.00097
11,9E-05,0.00013,0.00021,0.00033,0.00045,0.00057,0.00068,0.00078,0.00085,0.00093,0.001,0.00104,0.00104,0.001,0.00096,0.00091,0.00087,0.00085,0.00085,0.00085,0.00086,0.00088,0.00092,0.00096,0.00102
12,0.00012,0.0002,0.00031,0.00044,0.00055,0.00066,0.00075,0.00082,0.0009,0.00097,0.00101,0.00101,0.00098,0.00094,0.00089,0.00085,0.00083,0.00083,0.00083,0.00085,0.00087,0.0009,0.00095,0.00101,0.00107
13,0.00019,0.0003,0.00042,0.00053,0.00063,0.00072,0.00079,0.00087,0.00093,0.00097,0.00098,0.00095,0.00092,0.00087,0.00083,0.00081,0.00081,0.00082,0.00083,0.00085,0.00089,0.00093,0.00099,0.00106,0.00113
14,0.00029,0.0004,0.0005,0.00061,0.00069,0.00076,0.00083,0.0009,0.00093,0.00094,0.00092,0.00089,0.00084,0.00081,0.0008,0.00079,0.0008,0.00081,0.00083,0.00086,0.00091,0.00097,0.00103,0.00111,0.00119
15,0.00038,0.00048,0.00057,0.00066,0.00073,0.0008,0.00086,0.00089,0.0009,0.00088,0.00084,0.00082,0.00079,0.00078,0.00078,0.00078,0.00079,0.00081,0.00084,0.00089,0.00094,0.00101,0.00108,0.00116,0.00126
16,0.00046,0.00054,0.00062,0.00069,0.00076,0.00082,0.00085,0.00085,0.00084,0.00081,0.00077,0.00076,0.00075,0.00076,0.00076,0.00077,0.00079,0.00082,0.00087,0.00092,0.00098,0.00105,0.00113,0.00122,0.00132
17,0.00052,0.00058,0.00065,0.00072,0.00078,0.00082,0.00082,0.00079,0.00077,0.00074,0.00071,0.00072,0.00073,0.00074,0.00075,0.00077,0.0008,0.00084,0.00089,0.00095,0.00102,0.0011,0.00119,0.00129,0.0014
18,0.00145,0.00103,0.00108,0.00113,0.00116,0.00118,0.00114,0.00115,0.00114,0.00113,0.00118,0.00126,0.0013,0.00138,0.00144,0.00152,0.00162,0.00174,0.00187,0.00202,0.00219,0.0024,0.00265,0.00292,0.00325
19,0.00107,0.00109,0.00115,0.00119,0.00118,0.00118,0.00115,0.00112,0.00112,0.00116,0.0012,0.00129,0.00136,0.00145,0.00152,0.00162,0.00174,0.00187,0.00201,0.00216,0.00238,0.0026,0.00286,0.00315,0.00352
20,0.00113,0.00116,0.00118,0.00119,0.00119,0.00116,0.00112,0.00111,0.00113,0.00121,0.00125,0.00135,0.00143,0.00153,0.00164,0.00174,0.00188,0.002,0.00216,0.00233,0.00254,0.00281,0.00308,0.00343,0.00383
21,0.00117,0.00119,0.00118,0.00117,0.00116,0.00113,0.00111,0.00112,0.00117,0.00125,0.00131,0.00141,0.00153,0.00164,0.00174,0.00188,0.002,0.00215,0.00233,0.0025,0.00272,0.003,0.00333,0.0037,0.0041
22,0.00119,0.00115,0.00114,0.00114,0.00114,0.0011,0.0011,0.00113,0.00121,0.00129,0.00134,0.00149,0.00164,0.00176,0.00188,0.002,0.00215,0.00228,0.00247,0.00268,0.00294,0.00326,0.00362,0.00399,0.00442
23,0.00118,0.0011,0.00111,0.00112,0.0011,0.00111,0.00113,0.00117,0.00123,0.00133,0.00143,0.00159,0.00174,0.00188,0.00204,0.00216,0.00229,0.00247,0.00266,0.00288,0.00316,0.0035,0.00385,0.00426,0.00474
24,0.00111,0.00104,0.00105,0.00105,0.0011,0.00112,0.00115,0.00119,0.00124,0.00139,0.00153,0.0017,0.00188,0.00202,0.00218,0.00231,0.00246,0.00264,0.00286,0.0031,0.00342,0.00373,0.00413,0.00456,0.00508
25,0.00093,0.00097,0.00101,0.00106,0.0011,0.00113,0.00117,0.00119,0.00127,0.00145,0.00164,0.00184,0.00201,0.00219,0.00233,0.00248,0.00264,0.00285,0.00306,0.0033,0.00363,0.00401,0.00443,0.00491,0.00546
26,0.00084,0.00091,0.00099,0.00103,0.00109,0.00112,0.00116,0.00117,0.00133,0.00152,0.00169,0.0019,0.00209,0.00229,0.00245,0.00262,0.0028,0.00303,0.00328,0.00358,0.00393,0.00433,0.00478,0.00528,0.00589
27,0.0008,0.00086,0.00096,0.00102,0.00109,0.00112,0.00117,0.00125,0.00141,0.00158,0.00177,0.00199,0.00221,0.00239,0.00259,0.00278,0.003,0.00325,0.00355,0.00389,0.00424,0.0047,0.00517,0.0057,0.00637
28,0.00079,0.00087,0.00098,0.00102,0.00108,0.00112,0.00117,0.00129,0.00145,0.00166,0.00188,0.00212,0.00237,0.00258,0.00277,0.003,0.00325,0.00353,0.00386,0.00423,0.00463,0.00511,0.00559,0.00617,0.00684
29,0.00074,0.00088,0.00099,0.00108,0.00113,0.00114,0.00122,0.00136,0.00153,0.00173,0.002,0.00224,0.00253,0.00276,0.00299,0.00324,0.00353,0.00384,0.0042,0.00458,0.00503,0.00553,0.00605,0.00665,0.00742
30,0.00071,0.0009,0.00106,0.00116,0.00121,0.00121,0.00128,0.00142,0.0016,0.00184,0.00217,0.00246,0.00274,0.003,0.00325,0.00353,0.00382,0.00421,0.00458,0.00498,0.00546,0.00599,0.00655,0.00717,0.00799
31,0.00066,0.00094,0.00111,0.00125,0.00126,0.00129,0.00136,0.0015,0.00174,0.00201,0.00233,0.00269,0.00299,0.0033,0.00358,0.00387,0.00421,0.00459,0.00502,0.00548,0.00595,0.00651,0.0071,0.00778,0.00869
32,0.0007,0.00104,0.00121,0.0013,0.00134,0.00133,0.00144,0.00162,0.00191,0.00225,0.00259,0.00296,0.00329,0.00361,0.00392,0.00424,0.0046,0.00504,0.00548,0.00597,0.00649,0.00704,0.00767,0.00842,0.00944
33,0.00079,0.0011,0.00128,0.00139,0.00142,0.00141,0.00155,0.00179,0.00211,0.00249,0.00289,0.00328,0.0036,0.00397,0.00432,0.00467,0.00506,0.00549,0.00601,0.0065,0.00706,0.00767,0.00833,0.00913,0.01027
34,0.00087,0.0012,0.00142,0.00148,0.00147,0.00157,0.00173,0.00197,0.00231,0.00275,0.00317,0.00362,0.00401,0.00436,0.00474,0.00516,0.00558,0.00606,0.00658,0.00713,0.00769,0.00832,0.00904,0.00996,0.01124
35,0.00097,0.00132,0.00149,0.00159,0.00161,0.00174,0.00191,0.00223,0.00264,0.00305,0.00353,0.00398,0.00439,0.00481,0.00524,0.00565,0.00617,0.00665,0.00719,0.00775,0.00836,0.00904,0.00983,0.01087,0.01228
36,0.00103,0.0014,0.00161,0.0017,0.00178,0.00191,0.00219,0.00252,0.00293,0.0034,0.0039,0.00438,0.00486,0.00532,0.00578,0.00625,0.00674,0.00729,0.00786,0.00844,0.00911,0.00983,0.01075,0.01188,0.01353
37,0.00114,0.00153,0.00175,0.00185,0.00195,0.00216,0.0024,0.00282,0.00325,0.0038,0.00432,0.00487,0.00536,0.00586,0.00637,0.00686,0.00741,0.00797,0.00858,0.0092,0.0099,0.01073,0.01174,0.01304,0.01488
38,0.00122,0.00164,0.00187,0.00203,0.00218,0.00241,0.00272,0.00313,0.00365,0.00423,0.0048,0.00536,0.00592,0.00645,0.00697,0.00754,0.00809,0.00871,0.00934,0.01003,0.0108,0.01174,0.01291,0.01438,0.01642
39,0.00133,0.00179,0.00199,0.00225,0.00242,0.00272,0.00304,0.00352,0.00407,0.00467,0.0053,0.00592,0.00649,0.00706,0.00766,0.00823,0.00887,0.00949,0.0102,0.01092,0.0118,0.01285,0.01417,0.01588,0.01818
40,0.00139,0.00191,0.0022,0.00243,0.00271,0.00303,0.00345,0.00392,0.00454,0.00519,0.00583,0.00652,0.00713,0.00778,0.00838,0.009,0.00965,0.01036,0.01111,0.01192,0.01291,0.01411,0.01565,0.01758,0.02012
41,0.0015,0.00207,0.00239,0.00271,0.00305,0.00338,0.00385,0.0044,0.00507,0.0057,0.00644,0.00714,0.00784,0.00851,0.00914,0.00983,0.01051,0.01129,0.0121,0.01301,0.01416,0.01554,0.01728,0.01945,0.0223
42,0.00157,0.00219,0.00263,0.00301,0.0034,0.00383,0.00432,0.0049,0.00558,0.00633,0.00707,0.00786,0.00861,0.00929,0.00999,0.01069,0.01144,0.01226,0.01318,0.01425,0.01555,0.01716,0.01912,0.02157,0.0247
43,0.00167,0.00237,0.00289,0.00337,0.00381,0.00428,0.00482,0.00545,0.0062,0.00699,0.00778,0.00862,0.00937,0.01011,0.01086,0.01165,0.01247,0.0134,0.01441,0.01563,0.01708,0.01893,0.02121,0.02391,0.02734
44,0.00177,0.00254,0.00316,0.00373,0.00421,0.00476,0.00536,0.00603,0.00686,0.0077,0.00855,0.00942,0.01021,0.01103,0.0118,0.01267,0.01358,0.01456,0.01576,0.01713,0.01886,0.02097,0.0235,0.02656,0.03024
45,0.00187,0.00278,0.00346,0.00408,0.00469,0.00528,0.00591,0.00668,0.00753,0.00847,0.00936,0.01026,0.01112,0.01195,0.01284,0.01374,0.01477,0.01592,0.01726,0.01886,0.02082,0.02318,0.02604,0.02938,0.03337
46,0.00198,0.003,0.00382,0.00453,0.00516,0.00579,0.00651,0.00732,0.00823,0.00915,0.01011,0.01108,0.01204,0.01292,0.01387,0.01486,0.01599,0.01728,0.01886,0.02068,0.02292,0.02564,0.0288,0.03244,0.03673
47,0.00215,0.00327,0.00422,0.00497,0.00564,0.00634,0.00711,0.00794,0.00894,0.00994,0.01096,0.01195,0.013,0.01395,0.01499,0.01611,0.01737,0.01888,0.02062,0.02275,0.02531,0.02831,0.03183,0.03577,0.04036
48,0.00231,0.00364,0.0046,0.00544,0.00616,0.00694,0.00774,0.00864,0.00968,0.01077,0.01186,0.01292,0.01399,0.01507,0.0162,0.01748,0.01889,0.02058,0.02262,0.02505,0.02793,0.03125,0.03513,0.03934,0.04423
49,0.00255,0.00398,0.00506,0.00597,0.00677,0.00755,0.00845,0.00941,0.0105,0.01164,0.01282,0.01395,0.01509,0.01626,0.01752,0.019,0.02054,0.0225,0.02485,0.02759,0.03079,0.03448,0.03869,0.04316,0.04835
50,0.00276,0.00437,0.00557,0.0065,0.00738,0.00828,0.00918,0.01019,0.01137,0.01259,0.01383,0.01509,0.01632,0.01761,0.01905,0.02065,0.02244,0.0247,0.02728,0.03034,0.03391,0.03798,0.04248,0.04725,0.05272
51,0.00302,0.00477,0.00608,0.00716,0.00808,0.00899,0.01003,0.01109,0.01232,0.01361,0.01498,0.01628,0.01766,0.0191,0.02068,0.02252,0.02455,0.02708,0.03001,0.03344,0.03732,0.0417,0.04656,0.05157,0.05732
52,0.00339,0.0053,0.00666,0.00781,0.00881,0.00985,0.01089,0.01199,0.01334,0.01474,0.0162,0.01764,0.0191,0.02074,0.02255,0.02464,0.0269,0.02976,0.03299,0.03675,0.04101,0.04572,0.0509,0.05608,0.06219
53,0.00378,0.00578,0.00728,0.00856,0.00965,0.01069,0.01186,0.01306,0.01448,0.01595,0.01757,0.01913,0.02076,0.02256,0.02461,0.02695,0.02951,0.03268,0.03628,0.0404,0.04499,0.04999,0.05549,0.06092,0.06728
54,0.00425,0.00637,0.00794,0.00933,0.01049,0.01164,0.01289,0.01414,0.01571,0.01725,0.01905,0.02077,0.02258,0.02462,0.02691,0.02959,0.03241,0.03591,0.03989,0.04432,0.04922,0.05454,0.06032,0.06598,0.07265
55,0.00473,0.00699,0.00868,0.01018,0.01145,0.01275,0.01402,0.01542,0.01706,0.01875,0.02072,0.02256,0.02465,0.02691,0.02949,0.0325,0.03558,0.03943,0.04376,0.04852,0.05371,0.05935,0.06541,0.07126,0.07825
56,0.00524,0.00774,0.0095,0.01115,0.01255,0.01387,0.0153,0.01677,0.0185,0.02036,0.02253,0.0246,0.0269,0.02947,0.03236,0.03568,0.03906,0.04327,0.04792,0.05299,0.05851,0.06441,0.07076,0.07677,0.0841
57,0.00589,0.00848,0.01044,0.01217,0.01374,0.01514,0.01669,0.0182,0.02017,0.02216,0.02458,0.02685,0.02942,0.03227,0.03551,0.03919,0.04284,0.0474,0.05239,0.05774,0.06356,0.06971,0.07637,0.08251,0.09062
58,0.00654,0.00932,0.01141,0.01336,0.01504,0.01654,0.0182,0.01982,0.02191,0.02411,0.02679,0.02934,0.03219,0.0354,0.03897,0.04302,0.04694,0.05182,0.05709,0.06275,0.06882,0.07524,0.08219,0.08886,0.09743
59,0.00726,0.01028,0.01254,0.01461,0.01641,0.01807,0.01981,0.02157,0.02386,0.02628,0.02924,0.0321,0.03526,0.03878,0.04274,0.04712,0.05129,0.05647,0.06204,0.06797,0.07427,0.08098,0.08858,0.09549,0.10448
60,0.0081,0.01128,0.01376,0.01603,0.01796,0.01974,0.02165,0.02345,0.02596,0.0286,0.03191,0.03507,0.03858,0.04245,0.04678,0.05154,0.05589,0.06141,0.06724,0.07339,0.07996,0.08728,0.0952,0.10226,0.11196
61,0.00897,0.01241,0.01512,0.01759,0.01965,0.02152,0.02355,0.02551,0.02825,0.03115,0.03482,0.03829,0.04217,0.04642,0.05108,0.0562,0.06073,0.06657,0.07263,0.07902,0.08619,0.09376,0.10202,0.1093,0.12244
62,0.0099,0.01371,0.01663,0.01927,0.02149,0.02348,0.0256,0.02771,0.03067,0.03386,0.03794,0.04177,0.04599,0.05063,0.05565,0.06113,0.0658,0.07184,0.07818,0.08518,0.09256,0.10041,0.10888,0.11969,0.13408
63,0.01104,0.01513,0.01822,0.02108,0.0235,0.0256,0.02783,0.03005,0.03328,0.03678,0.04128,0.04548,0.05007,0.05507,0.06047,0.06623,0.07102,0.0773,0.08423,0.09144,0.09905,0.10708,0.11893,0.13167,0.14705
64,0.0122,0.01671,0.02004,0.02308,0.02567,0.02779,0.03017,0.03251,0.03604,0.03983,0.04484,0.0494,0.05439,0.05976,0.06547,0.07148,0.07648,0.08329,0.0904,0.09779,0.10562,0.11726,0.12992,0.14507,0.1617
65,0.01359,0.0184,0.02207,0.02511,0.02772,0.0301,0.03243,0.03526,0.03922,0.04348,0.04808,0.05299,0.05832,0.06401,0.06994,0.07618,0.08295,0.08995,0.09709,0.10449,0.11581,0.12847,0.14364,0.16024,0.17817
66,0.01504,0.02029,0.02411,0.02738,0.03033,0.03296,0.0355,0.03868,0.043,0.04762,0.05263,0.05793,0.06362,0.06962,0.07587,0.08266,0.08963,0.09677,0.10402,0.11528,0.12736,0.14249,0.15928,0.17736,0.19562
67,0.01671,0.02229,0.02626,0.02987,0.03308,0.03594,0.03883,0.0423,0.047,0.05203,0.0574,0.06314,0.0692,0.07548,0.08231,0.08934,0.09646,0.10363,0.11495,0.12661,0.14162,0.15846,0.17685,0.19562,0.21465
68,0.01851,0.02453,0.02857,0.03248,0.03594,0.03913,0.04233,0.04617,0.05126,0.05672,0.06252,0.06863,0.07497,0.08189,0.08897,0.09617,0.10334,0.11476,0.12645,0.14088,0.15787,0.17646,0.19562,0.21465,0.23406
69,0.02058,0.02689,0.03105,0.03522,0.039,0.0425,0.04604,0.05025,0.05577,0.06163,0.06783,0.07426,0.08125,0.08849,0.09574,0.103,0.11461,0.12631,0.14032,0.15739,0.17621,0.19562,0.21465,0.23406,0.25412
70,0.02278,0.02943,0.03355,0.03809,0.04223,0.04604,0.04994,0.05456,0.06052,0.06677,0.07335,0.08049,0.08783,0.09519,0.10261,0.11445,0.12633,0.13981,0.157,0.17602,0.19562,0.21465,0.23406,0.25412,0.27257
71,0.02518,0.03209,0.03622,0.04113,0.04554,0.04974,0.0541,0.05913,0.06553,0.07217,0.07946,0.08694,0.09449,0.10207,0.11426,0.12631,0.13932,0.15672,0.17593,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777
72,0.02775,0.03485,0.03897,0.04421,0.04904,0.05364,0.05842,0.06392,0.07074,0.07814,0.08578,0.09353,0.10125,0.11391,0.12627,0.13888,0.15643,0.17583,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415
73,0.03038,0.03773,0.04177,0.0474,0.05266,0.05777,0.06296,0.06892,0.07652,0.08433,0.09228,0.10028,0.11341,0.12613,0.13891,0.15612,0.17574,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948
74,0.03317,0.04068,0.04465,0.05074,0.05648,0.06204,0.06773,0.07451,0.08255,0.09068,0.0989,0.11269,0.12593,0.13904,0.15582,0.17566,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783
75,0.03603,0.04374,0.04761,0.05414,0.06043,0.06649,0.07303,0.08032,0.08874,0.09716,0.11173,0.12555,0.13901,0.15538,0.17554,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826
76,0.03895,0.04693,0.05063,0.05772,0.06452,0.07143,0.07851,0.08632,0.09505,0.1105,0.12494,0.13899,0.15487,0.17536,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736
77,0.04199,0.05013,0.05373,0.06139,0.06904,0.07655,0.08417,0.09243,0.10901,0.12426,0.13876,0.15424,0.17511,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332
78,0.04504,0.05343,0.05688,0.06545,0.07372,0.08182,0.08998,0.10705,0.12328,0.1385,0.15341,0.17475,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568
79,0.04824,0.05686,0.06038,0.06958,0.0785,0.08712,0.10542,0.12207,0.13812,0.15314,0.17429,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339
80,0.05151,0.06068,0.06399,0.07389,0.0833,0.10371,0.12126,0.13763,0.15327,0.17373,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631
81,0.05519,0.06469,0.06924,0.07812,0.10124,0.12056,0.13761,0.15334,0.17304,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202
82,0.05905,0.06876,0.0744,0.09788,0.11951,0.13791,0.15395,0.1722,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269
83,0.0632,0.07156,0.09345,0.11801,0.13828,0.15508,0.17121,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716
84,0.0677,0.0889,0.11614,0.13866,0.15657,0.17002,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716,0.44263
85,0.07252,0.10563,0.13978,0.15887,0.17193,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716,0.44263,0.44692
86,0.07783,0.12358,0.16282,0.17506,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716,0.44263,0.44692,0.45
87,0.08362,0.14143,0.18075,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716,0.44263,0.44692,0.45,0.45
88,0.08996,0.15436,0.19562,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716,0.44263,0.44692,0.45,0.45,0.45
89,0.09693,0.15537,0.21465,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716,0.44263,0.44692,0.45,0.45,0.45,0.45
90,0.1047,0.18446,0.23406,0.25412,0.27257,0.28777,0.30415,0.31948,0.33783,0.35826,0.37736,0.39332,0.40568,0.41339,0.41631,0.4202,0.4269,0.43716,0.44263,0.44692,0.45,0.45,0.45,0.45,0.45

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Limited Underwriting Table - Male, Smoker, Age Nearest Birthday, Ultimate",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
