Table Name:,2008 VBT Female Limited Underwriting NS ANB,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",90,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00031,0.00026,0.00022,0.00017,0.00013,0.00012,0.00011,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003
1,0.00026,0.00022,0.00017,0.00013,0.00012,0.00011,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
2,0.00022,0.00017,0.00013,0.00012,0.00011,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
3,0.00017,0.00013,0.00012,0.00011,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031
4,0.00013,0.00012,0.00011,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031,0.00032
5,0.00012,0.00011,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031,0.00032,0.00033
6,0.00011,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031,0.00032,0.00033,0.00035
7,0.00011,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031,0.00032,0.00033,0.00035,0.00037
8,0.0001,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031,0.00032,0.00033,0.00035,0.00037,0.0004
9,0.0001,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031,0.00032,0.00033,0.00035,0.00037,0.0004,0.00043
10,9E-05,9E-05,0.00011,0.00014,0.00018,0.00023,0.00027,0.0003,0.00031,0.00031,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.00031,0.00032,0.00033,0.00035,0.00037,0.0004,0.00043,0.00046
11,9E-05,0.0001,0.00013,0.00018,0.00022,0.00026,0.00029,0.0003,0.0003,0.0003,0.0003,0.0003,0.00029,0.00029,0.00029,0.0003,0.00031,0.00032,0.00033,0.00035,0.00037,0.0004,0.00043,0.00046,0.0005
12,0.0001,0.00013,0.00017,0.00022,0.00025,0.00028,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.0003,0.00031,0.00033,0.00035,0.00037,0.0004,0.00043,0.00046,0.0005,0.00054
13,0.00012,0.00016,0.00021,0.00025,0.00027,0.00028,0.00029,0.00028,0.00028,0.00028,0.00028,0.00028,0.00028,0.00028,0.00029,0.00031,0.00033,0.00035,0.00037,0.0004,0.00043,0.00046,0.0005,0.00054,0.00058
14,0.00015,0.0002,0.00024,0.00027,0.00028,0.00028,0.00027,0.00028,0.00028,0.00028,0.00028,0.00027,0.00028,0.00029,0.0003,0.00032,0.00034,0.00036,0.00039,0.00043,0.00046,0.0005,0.00054,0.00058,0.00063
15,0.00018,0.00023,0.00026,0.00027,0.00027,0.00026,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00028,0.00029,0.00031,0.00033,0.00035,0.00039,0.00042,0.00046,0.0005,0.00054,0.00058,0.00063,0.00067
16,0.0002,0.00024,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00027,0.00027,0.00027,0.00028,0.0003,0.00032,0.00034,0.00038,0.00041,0.00046,0.0005,0.00054,0.00058,0.00062,0.00067,0.00072
17,0.00021,0.00024,0.00025,0.00025,0.00025,0.00025,0.00025,0.00026,0.00026,0.00026,0.00027,0.00028,0.00029,0.00031,0.00033,0.00036,0.0004,0.00045,0.00049,0.00053,0.00058,0.00062,0.00067,0.00071,0.00076
18,0.00041,0.00044,0.00046,0.00045,0.00045,0.00045,0.00045,0.00047,0.00048,0.00048,0.0005,0.00052,0.00055,0.00059,0.00062,0.0007,0.00078,0.00087,0.00097,0.00103,0.00112,0.00119,0.00128,0.00136,0.00145
19,0.00037,0.00044,0.00046,0.00045,0.00045,0.00045,0.00046,0.00048,0.0005,0.00052,0.00052,0.00054,0.00058,0.00061,0.00066,0.00075,0.00084,0.00093,0.00103,0.00112,0.00118,0.00127,0.00135,0.00144,0.00151
20,0.00037,0.00042,0.00044,0.00044,0.00044,0.00044,0.00045,0.00047,0.0005,0.00052,0.00055,0.00057,0.00061,0.00066,0.00073,0.00081,0.0009,0.001,0.00111,0.00118,0.00127,0.00133,0.00141,0.00151,0.00162
21,0.00036,0.00042,0.00044,0.00044,0.00043,0.00045,0.00046,0.0005,0.00051,0.00055,0.00058,0.0006,0.00065,0.0007,0.00077,0.00086,0.00096,0.00108,0.00118,0.00126,0.00133,0.00141,0.00148,0.00159,0.00172
22,0.00033,0.00042,0.00044,0.00044,0.00044,0.00046,0.00048,0.00051,0.00054,0.00058,0.00061,0.00065,0.0007,0.00075,0.0008,0.00091,0.00103,0.00115,0.00124,0.00134,0.00142,0.00149,0.00157,0.0017,0.00187
23,0.00032,0.00041,0.00044,0.00044,0.00046,0.00046,0.00048,0.00054,0.00057,0.00061,0.00064,0.00069,0.00074,0.00079,0.00087,0.00097,0.00109,0.0012,0.00132,0.00141,0.00147,0.00158,0.00168,0.00184,0.00207
24,0.0003,0.0004,0.00043,0.00045,0.00046,0.00048,0.00051,0.00054,0.0006,0.00065,0.00069,0.00073,0.00078,0.00083,0.00091,0.00103,0.00114,0.00127,0.0014,0.00149,0.00157,0.00169,0.00183,0.00205,0.0023
25,0.00029,0.00038,0.00043,0.00046,0.00047,0.00048,0.00053,0.00057,0.00066,0.00071,0.00074,0.00076,0.00084,0.00087,0.00095,0.00109,0.00122,0.00135,0.00147,0.00159,0.00168,0.00183,0.00204,0.00229,0.00256
26,0.00029,0.00037,0.00043,0.00046,0.00047,0.00048,0.00053,0.00059,0.00067,0.00071,0.00075,0.00079,0.00084,0.00092,0.00102,0.00115,0.00128,0.00142,0.00154,0.00167,0.00179,0.00192,0.00213,0.00236,0.00268
27,0.00029,0.00037,0.00043,0.00046,0.00047,0.00049,0.00053,0.0006,0.00068,0.00072,0.00077,0.00084,0.0009,0.00098,0.00109,0.00123,0.00135,0.00148,0.00162,0.00174,0.00188,0.00204,0.00227,0.00254,0.00288
28,0.00027,0.00038,0.00042,0.00046,0.00047,0.00049,0.00054,0.00061,0.00068,0.00075,0.00083,0.00089,0.00096,0.00106,0.00117,0.0013,0.00144,0.00157,0.00169,0.00183,0.002,0.00218,0.00243,0.00271,0.0031
29,0.00027,0.00038,0.00042,0.00046,0.00048,0.00052,0.00056,0.00065,0.00072,0.0008,0.00086,0.00095,0.00102,0.00114,0.00126,0.00138,0.00152,0.00167,0.00181,0.00194,0.00212,0.00232,0.00258,0.0029,0.00332
30,0.00029,0.0004,0.00044,0.00047,0.0005,0.00054,0.00058,0.00068,0.00076,0.00085,0.00093,0.00101,0.00112,0.00123,0.00136,0.00149,0.00162,0.00176,0.00191,0.00207,0.00226,0.00248,0.00275,0.0031,0.00356
31,0.00029,0.0004,0.00045,0.00049,0.00051,0.00056,0.00064,0.00073,0.00081,0.00092,0.00099,0.00111,0.00122,0.00134,0.00147,0.0016,0.00175,0.00188,0.00203,0.0022,0.0024,0.00264,0.00294,0.00332,0.00381
32,0.0003,0.00041,0.00046,0.0005,0.00053,0.0006,0.00068,0.00077,0.00088,0.00098,0.00109,0.0012,0.00133,0.00146,0.00159,0.00172,0.00188,0.00203,0.00219,0.00237,0.00257,0.00283,0.00314,0.00356,0.00408
33,0.0003,0.00043,0.00048,0.00051,0.00055,0.00063,0.00073,0.00085,0.00095,0.00106,0.00119,0.00132,0.00146,0.00158,0.00174,0.00187,0.00201,0.00216,0.00233,0.00252,0.00275,0.00302,0.00337,0.00379,0.00436
34,0.00032,0.00044,0.00049,0.00053,0.0006,0.00069,0.0008,0.00092,0.00104,0.00116,0.0013,0.00144,0.00159,0.00173,0.00188,0.00201,0.00218,0.00233,0.00251,0.00271,0.00295,0.00324,0.0036,0.00407,0.00468
35,0.00035,0.00046,0.00052,0.00057,0.00063,0.00075,0.00087,0.00099,0.00112,0.00127,0.00141,0.00157,0.00172,0.00187,0.00203,0.00219,0.00235,0.00252,0.0027,0.00291,0.00318,0.00349,0.00386,0.00437,0.00502
36,0.00036,0.00047,0.00054,0.00059,0.00069,0.00081,0.00094,0.00107,0.00122,0.00138,0.00154,0.00172,0.00188,0.00206,0.00221,0.00236,0.00253,0.00271,0.00291,0.00314,0.00341,0.00374,0.00416,0.00471,0.00541
37,0.00038,0.0005,0.00055,0.00061,0.00074,0.00088,0.00103,0.00116,0.00133,0.0015,0.00169,0.00189,0.00205,0.00224,0.00239,0.00256,0.00274,0.00293,0.00314,0.00338,0.00366,0.00402,0.00448,0.00509,0.00587
38,0.00039,0.00052,0.00057,0.00067,0.00083,0.00097,0.00111,0.00127,0.00144,0.00164,0.00185,0.00205,0.00222,0.00242,0.00259,0.00278,0.00297,0.00316,0.00339,0.00364,0.00395,0.00435,0.00486,0.00552,0.00636
39,0.00042,0.00053,0.00058,0.00073,0.0009,0.00105,0.00121,0.00139,0.00158,0.00178,0.00202,0.00222,0.00243,0.00262,0.00282,0.00301,0.0032,0.00342,0.00366,0.00393,0.00427,0.00471,0.00528,0.006,0.00694
40,0.00044,0.00055,0.00062,0.00081,0.00097,0.00115,0.00132,0.00151,0.00172,0.00195,0.00218,0.00241,0.00263,0.00284,0.00304,0.00324,0.00345,0.00369,0.00395,0.00423,0.00463,0.00511,0.00575,0.00657,0.00759
41,0.00045,0.00058,0.00068,0.00087,0.00107,0.00124,0.00142,0.00163,0.00188,0.00213,0.00239,0.00261,0.00285,0.00307,0.00329,0.0035,0.00373,0.00398,0.00425,0.00459,0.00501,0.00557,0.0063,0.00721,0.00834
42,0.00048,0.00059,0.00074,0.00097,0.00116,0.00135,0.00155,0.00178,0.00204,0.0023,0.00258,0.00284,0.00307,0.00331,0.00353,0.00377,0.00402,0.00428,0.0046,0.00499,0.00548,0.00611,0.00692,0.00795,0.0092
43,0.0005,0.0006,0.00081,0.00104,0.00125,0.00146,0.00167,0.00194,0.00221,0.0025,0.00278,0.00307,0.00333,0.00358,0.0038,0.00406,0.00434,0.00462,0.00497,0.00542,0.00597,0.00671,0.00763,0.00878,0.01018
44,0.00051,0.00065,0.0009,0.00114,0.00135,0.00157,0.00182,0.0021,0.0024,0.0027,0.00301,0.0033,0.00358,0.00383,0.00409,0.00438,0.00466,0.005,0.00541,0.00591,0.00657,0.0074,0.00845,0.00975,0.01131
45,0.00054,0.00071,0.001,0.00123,0.00146,0.0017,0.00197,0.00227,0.00259,0.00292,0.00325,0.00355,0.00385,0.00413,0.00441,0.00469,0.00503,0.00542,0.00588,0.00646,0.00723,0.00817,0.00938,0.01084,0.01257
46,0.00056,0.00079,0.00107,0.00132,0.00157,0.00183,0.00212,0.00244,0.00278,0.00313,0.00346,0.00377,0.00408,0.00438,0.00468,0.00502,0.00538,0.00582,0.00638,0.00707,0.00794,0.00905,0.01042,0.01205,0.01399
47,0.00057,0.00085,0.00116,0.00142,0.00168,0.00196,0.00225,0.00259,0.00296,0.00332,0.00368,0.00402,0.00435,0.00466,0.00501,0.00538,0.00579,0.0063,0.00695,0.00776,0.00878,0.01005,0.0116,0.01343,0.0156
48,0.0006,0.00092,0.00122,0.00152,0.00179,0.0021,0.00242,0.00279,0.00316,0.00354,0.00391,0.00426,0.00462,0.00496,0.00535,0.00578,0.00624,0.00685,0.0076,0.00855,0.00973,0.01118,0.01294,0.01499,0.01741
49,0.00062,0.00099,0.00132,0.00162,0.00192,0.00224,0.00259,0.00298,0.00336,0.00377,0.00417,0.00454,0.00492,0.00531,0.00572,0.00619,0.00675,0.00746,0.00834,0.00943,0.0108,0.01245,0.01444,0.01672,0.01941
50,0.00066,0.00107,0.00141,0.00174,0.00205,0.0024,0.00277,0.00318,0.00359,0.004,0.00442,0.00482,0.00521,0.00566,0.00612,0.00669,0.00732,0.00815,0.00918,0.01044,0.01201,0.01389,0.01613,0.01864,0.02163
51,0.00072,0.00114,0.00151,0.00185,0.00221,0.00258,0.00299,0.00339,0.00382,0.00425,0.00471,0.00512,0.00557,0.00604,0.00659,0.00724,0.00797,0.00895,0.01014,0.01159,0.01338,0.01549,0.01799,0.02077,0.02411
52,0.00078,0.00121,0.0016,0.00197,0.00235,0.00277,0.00319,0.00362,0.00407,0.00452,0.005,0.00545,0.00594,0.00648,0.00712,0.00786,0.00873,0.00984,0.01122,0.01288,0.0149,0.01726,0.02005,0.02311,0.02681
53,0.00081,0.00129,0.0017,0.00212,0.00255,0.00297,0.00343,0.00386,0.00434,0.00481,0.00533,0.00583,0.00639,0.007,0.00772,0.00858,0.00958,0.01088,0.01245,0.01434,0.01659,0.01924,0.02233,0.0257,0.02977
54,0.00087,0.00137,0.00181,0.00228,0.00274,0.0032,0.00368,0.00413,0.00463,0.00514,0.00571,0.00625,0.00687,0.00758,0.00841,0.00941,0.01055,0.01204,0.01384,0.01596,0.01849,0.02141,0.02483,0.02853,0.03301
55,0.00093,0.00145,0.00196,0.00246,0.00297,0.00344,0.00395,0.00443,0.00496,0.00549,0.00612,0.00674,0.00744,0.00824,0.00921,0.01037,0.01166,0.01336,0.01538,0.01777,0.02057,0.02382,0.02757,0.03159,0.03652
56,0.00099,0.00156,0.00211,0.00265,0.0032,0.00372,0.00425,0.00474,0.00532,0.00589,0.00659,0.00728,0.00808,0.009,0.01012,0.01145,0.01293,0.01485,0.01712,0.01977,0.02286,0.02644,0.03057,0.03491,0.04033
57,0.00107,0.00168,0.00228,0.00289,0.00348,0.00403,0.00458,0.00509,0.00572,0.00635,0.00713,0.00791,0.00882,0.0099,0.01116,0.01269,0.01435,0.01651,0.01905,0.02197,0.02539,0.02929,0.0338,0.03851,0.04453
58,0.00114,0.00183,0.00248,0.00316,0.00378,0.00435,0.00494,0.00548,0.00615,0.00687,0.00775,0.00862,0.00968,0.0109,0.01235,0.01409,0.01596,0.01837,0.02117,0.02441,0.02813,0.03239,0.0373,0.04248,0.04906
59,0.00123,0.00198,0.00272,0.00345,0.00411,0.00473,0.00534,0.00592,0.00666,0.00746,0.00844,0.00946,0.01065,0.01206,0.0137,0.01567,0.01775,0.02043,0.02352,0.02705,0.03112,0.03576,0.04116,0.04676,0.05394
60,0.00132,0.00218,0.00299,0.00377,0.00449,0.00514,0.0058,0.00643,0.00723,0.00813,0.00925,0.01041,0.01176,0.01336,0.01524,0.01745,0.01974,0.0227,0.02609,0.02994,0.03435,0.03945,0.04533,0.05133,0.05916
61,0.00146,0.00241,0.00329,0.00413,0.00491,0.00559,0.0063,0.00697,0.0079,0.00888,0.01016,0.01149,0.01304,0.01485,0.01696,0.01944,0.02194,0.0252,0.02889,0.03307,0.03793,0.04343,0.04979,0.05629,0.06543
62,0.00162,0.00267,0.00363,0.00455,0.00537,0.00611,0.00687,0.00759,0.00862,0.00976,0.01122,0.01273,0.01448,0.01652,0.01889,0.02163,0.02437,0.02793,0.03194,0.03653,0.04177,0.04771,0.05455,0.06283,0.07223
63,0.00182,0.00298,0.00402,0.00501,0.00589,0.00667,0.00749,0.0083,0.00945,0.01073,0.01241,0.01412,0.0161,0.01839,0.02102,0.02407,0.02704,0.03089,0.03532,0.04026,0.04588,0.05227,0.06127,0.06993,0.07948
64,0.00203,0.00333,0.00444,0.00552,0.00646,0.0073,0.0082,0.00909,0.01039,0.01183,0.01375,0.01567,0.0179,0.02047,0.02339,0.02673,0.02996,0.03419,0.03895,0.04427,0.0503,0.0591,0.0686,0.07762,0.08728
65,0.0023,0.00371,0.00494,0.00605,0.00705,0.00799,0.00893,0.01002,0.01152,0.01319,0.0151,0.01726,0.01974,0.02256,0.02575,0.02935,0.03344,0.038,0.04307,0.0487,0.05722,0.06639,0.07605,0.08593,0.09556
66,0.00258,0.00415,0.00546,0.00669,0.00782,0.00887,0.00994,0.01121,0.01291,0.01481,0.01697,0.01942,0.02218,0.02531,0.02883,0.03281,0.03724,0.04215,0.04754,0.05596,0.06508,0.07477,0.08479,0.09483,0.10424
67,0.00294,0.00465,0.00604,0.00739,0.00865,0.00984,0.01109,0.01254,0.01448,0.01663,0.01907,0.02181,0.0249,0.02836,0.03226,0.03661,0.04138,0.04661,0.05493,0.064,0.07371,0.08388,0.09423,0.10424,0.11392
68,0.00335,0.00518,0.00666,0.00816,0.00958,0.01095,0.01238,0.01405,0.01625,0.01868,0.02143,0.02449,0.02791,0.03176,0.03604,0.04072,0.04584,0.05411,0.06314,0.07287,0.08317,0.09377,0.10424,0.11392,0.12426
69,0.00378,0.00578,0.00737,0.00902,0.01061,0.01217,0.01382,0.01575,0.01822,0.02097,0.02404,0.02744,0.03127,0.03551,0.04014,0.04518,0.05343,0.06244,0.0722,0.0826,0.09343,0.10424,0.11392,0.12426,0.13529
70,0.00429,0.00645,0.00813,0.00995,0.01176,0.01354,0.01542,0.01763,0.02043,0.02351,0.02692,0.03076,0.03498,0.03958,0.04458,0.05285,0.06189,0.07166,0.08216,0.09318,0.10424,0.11392,0.12426,0.13529,0.14702
71,0.00483,0.00715,0.00896,0.01099,0.01301,0.01506,0.01721,0.01973,0.02287,0.0263,0.03016,0.03439,0.039,0.044,0.05233,0.06141,0.07126,0.08182,0.09302,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948
72,0.00542,0.00794,0.00984,0.01212,0.01441,0.01672,0.01919,0.02205,0.02555,0.02945,0.03371,0.03836,0.04337,0.05183,0.06099,0.07091,0.08155,0.09288,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727
73,0.00606,0.00879,0.01082,0.01337,0.01594,0.01857,0.02138,0.02461,0.02857,0.03288,0.03758,0.04264,0.05127,0.06057,0.07058,0.08134,0.0928,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669
74,0.00675,0.0097,0.01187,0.0147,0.0176,0.02058,0.02376,0.02746,0.03186,0.03661,0.04175,0.05064,0.06013,0.07029,0.08116,0.09275,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313
75,0.00747,0.01068,0.01301,0.01616,0.01941,0.02277,0.02642,0.03058,0.03543,0.04066,0.04986,0.05959,0.06994,0.08097,0.09269,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015
76,0.00825,0.01173,0.01422,0.01774,0.02137,0.0252,0.02932,0.03394,0.03928,0.04888,0.05893,0.06955,0.08075,0.0926,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745
77,0.00905,0.01284,0.0155,0.01943,0.02354,0.02783,0.03244,0.03758,0.04766,0.05812,0.06904,0.08048,0.09252,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465
78,0.00989,0.01403,0.01686,0.02128,0.02585,0.03066,0.03579,0.04613,0.0571,0.06839,0.08014,0.09239,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135
79,0.01074,0.01528,0.01833,0.02323,0.02834,0.03367,0.0446,0.05581,0.06761,0.0797,0.09219,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708
80,0.01164,0.01664,0.01991,0.02531,0.03095,0.04281,0.05457,0.06661,0.07917,0.09196,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028
81,0.01257,0.01807,0.02155,0.02751,0.04051,0.05314,0.06569,0.07848,0.09166,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348
82,0.01353,0.01956,0.02325,0.03761,0.05137,0.0647,0.07791,0.09129,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615
83,0.01449,0.02112,0.03404,0.04909,0.06345,0.07733,0.09103,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821
84,0.01548,0.0282,0.04637,0.0619,0.07664,0.09078,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821,0.42958
85,0.01647,0.03637,0.06016,0.07587,0.09057,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821,0.42958,0.44021
86,0.01748,0.0456,0.07519,0.09046,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821,0.42958,0.44021,0.45
87,0.01848,0.05577,0.09071,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821,0.42958,0.44021,0.45,0.45
88,0.01946,0.06613,0.10424,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821,0.42958,0.44021,0.45,0.45,0.45
89,0.02045,0.07185,0.11392,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821,0.42958,0.44021,0.45,0.45,0.45,0.45
90,0.02147,0.07768,0.12426,0.13529,0.14702,0.15948,0.1727,0.18669,0.21313,0.24015,0.26745,0.29465,0.32135,0.34708,0.37028,0.39348,0.40615,0.41821,0.42958,0.44021,0.45,0.45,0.45,0.45,0.45

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2008 Valuation Basic Table (VBT) Limited Underwriting Table - Female, Nonsmoker, Age Nearest Birthday, Ultimate",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
