Table Name:,"1955-60 Basic Table, Male and Female Combined, ANB",,,,,,,,,,,,,,
Table Identity:,353,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,
Provider Name:,Roger Scott Lumsden,,,,,,,,,,,,,,
Table Reference:,"Committee on Mortality, “II. 1955-1960 Basic Tables”, Transaction of the Society of Actuaries - 1962 Reports, Society of Actuaries (1962). Accessed: March, 2013 from http://www.soa.org/library/research/transactions-reports-of-mortality-moribidity-and-experience/1960-69/1962/january/tsr623.aspx",,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,
Table Description:,1955-60 Basic Table – Male and Female Combined. Basis: Age Nearest Birthday. Minimum Select Age: 10-14. Maximum Select Age: 70 and Over. Minimum Ultimate Age: 15. Maximum Ultimate Age: 95,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,
Comments:,"Study Data: Sixteen companies contributed data of which 14 contributed to sex-distinct experience for the select period while only six companies were able to contribute to the sex-distinct ultimate experience. Select period rates are based on the experience of the first 15 policy years between 1955 and 1960 policy anniversaries; ultimate experience by sex was available only between 1957 and 1960 policy anniversaries. For the younger issue age groups, both medical and nonmedical issues were included to obtain a larger volume of data. The ultimate tables at all ages are based on the experience under medical and nonmedical issues combined. Only the select tables for issue ages 25 and over are based on the experience under medical issues exclusively. It should be noted that as the select and ultimate tables were derived from different bodies of data and underwritten in different periods, that the ultimate rates do not necessarily represent the level to which the select rates will rise after the effects of selection have worn off. Methodology: The basic formula used in the graduation of the select tables was a Whittaker-Henderson second difference Type A formula for age groups 10-14 to 65-69. Because of the small amount of data available, age group 70 and over was graduated separately. Where necessary, the graduated rates were further adjusted empirically and by linear transformations to prevent them from exceeding the ultimate rates and to improve the fit. These adjustments occurred mainly at the younger ages. For ages 70 and over, rates were extrapolated from ratios for age groups 60-64 and 65-69. These ratios were graduated graphically and applied to the ultimate rates. The resulting rates were lowered at the later durations to improve the fit. For the sex-distinct tables, the same techniques were used for the males with final adjustments to make the male rates higher than the rates for both sexes combined in the corresponding age-duration cells. For the females however, due to the small amount of claims, it was necessary to give greater emphasis to smoothness than in either the combined or male table. As it was impossible to graduate the crude female data for ages 70 and above due to the virtual non-existence of claims, the rates were obtained by applying percentages ranging from 50 per cent in the first policy year to 70 per cent in the 15th policy year to the male rates for these older ages. Select rates were developed in quinquennial age groups. Accordingly the select table is coded with the value applying to the lowest age in the range. Data Transcription Errors: None. Data Certified: 03/2013",,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,
Table Description:,1955-60 Basic Table – Male and Female Combined. Basis: Age Nearest Birthday. Minimum Select Age: 10-14. Maximum Select Age: 70 and Over.,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",10,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",70,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",5,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10,0.00035,0.00047,0.00055,0.00060,0.00067,0.00075,0.00082,0.00086,0.00090,0.00092,0.00092,0.00093,0.00095,0.00097,0.00099
15,0.00075,0.00082,0.00086,0.00090,0.00091,0.00091,0.00092,0.00092,0.00093,0.00094,0.00095,0.00096,0.00098,0.00099,0.00101
20,0.00066,0.00068,0.00077,0.00078,0.00078,0.00079,0.00080,0.00082,0.00087,0.00092,0.00099,0.00107,0.00116,0.00126,0.00136
25,0.00052,0.00065,0.00080,0.00083,0.00083,0.00086,0.00095,0.00104,0.00117,0.00131,0.00149,0.00171,0.00192,0.00212,0.00234
30,0.00061,0.00073,0.00092,0.00102,0.00112,0.00126,0.00145,0.00170,0.00199,0.00229,0.00262,0.00294,0.00332,0.00374,0.00418
35,0.00091,0.00117,0.00147,0.00172,0.00197,0.00224,0.00260,0.00293,0.00333,0.00382,0.00436,0.00489,0.00544,0.00618,0.00710
40,0.00145,0.00196,0.00245,0.00286,0.00315,0.00370,0.00430,0.00483,0.00539,0.00604,0.00634,0.00767,0.00870,0.00974,0.01056
45,0.00211,0.00293,0.00379,0.00446,0.00491,0.00571,0.00686,0.00755,0.00821,0.00903,0.01010,0.01152,0.01339,0.01528,0.01729
50,0.00295,0.00447,0.00590,0.00690,0.00739,0.00885,0.01070,0.01156,0.01254,0.01387,0.01522,0.01713,0.01971,0.02242,0.02494
55,0.00422,0.00626,0.00858,0.01008,0.01097,0.01265,0.01520,0.01640,0.01771,0.02017,0.02323,0.02681,0.03031,0.03453,0.03820
