"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",70,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00580,0.00133,0.00084,0.00065,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052
1,0.00133,0.00084,0.00065,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067
2,0.00084,0.00065,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081
3,0.00065,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095
4,0.00053,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107
5,0.00048,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116
6,0.00042,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119
7,0.00039,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116
8,0.00035,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113
9,0.00032,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113,0.00111
10,0.00031,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113,0.00111,0.00110
11,0.00031,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113,0.00111,0.00110,0.00108
12,0.00033,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113,0.00111,0.00110,0.00108,0.00107
13,0.00042,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113,0.00111,0.00110,0.00108,0.00107,0.00104
14,0.00052,0.00067,0.00081,0.00095,0.00107,0.00116,0.00119,0.00116,0.00113,0.00111,0.00110,0.00108,0.00107,0.00104,0.00109
15,0.00066,0.00080,0.00093,0.00104,0.00112,0.00117,0.00116,0.00113,0.00111,0.00109,0.00108,0.00107,0.00104,0.00109,0.00113
16,0.00080,0.00093,0.00100,0.00107,0.00112,0.00114,0.00113,0.00111,0.00109,0.00108,0.00106,0.00104,0.00109,0.00113,0.00118
17,0.00092,0.00099,0.00103,0.00107,0.00111,0.00110,0.00109,0.00108,0.00107,0.00106,0.00104,0.00109,0.00113,0.00118,0.00123
18,0.00092,0.00098,0.00102,0.00105,0.00108,0.00105,0.00104,0.00104,0.00104,0.00104,0.00103,0.00109,0.00115,0.00121,0.00125
19,0.00088,0.00095,0.00098,0.00100,0.00101,0.00098,0.00098,0.00098,0.00099,0.00101,0.00101,0.00109,0.00116,0.00123,0.00128
20,0.00082,0.00089,0.00093,0.00094,0.00094,0.00090,0.00092,0.00092,0.00095,0.00099,0.00100,0.00109,0.00116,0.00125,0.00133
21,0.00075,0.00084,0.00088,0.00088,0.00087,0.00083,0.00086,0.00088,0.00092,0.00097,0.00101,0.00109,0.00118,0.00128,0.00140
22,0.00070,0.00079,0.00084,0.00084,0.00083,0.00081,0.00083,0.00085,0.00090,0.00096,0.00102,0.00110,0.00121,0.00134,0.00149
23,0.00067,0.00075,0.00081,0.00081,0.00081,0.00080,0.00082,0.00085,0.00090,0.00097,0.00105,0.00114,0.00128,0.00144,0.00160
24,0.00063,0.00071,0.00077,0.00079,0.00080,0.00080,0.00082,0.00086,0.00092,0.00100,0.00111,0.00121,0.00138,0.00157,0.00176
25,0.00060,0.00067,0.00074,0.00077,0.00080,0.00081,0.00084,0.00089,0.00096,0.00105,0.00118,0.00132,0.00152,0.00174,0.00195
26,0.00058,0.00065,0.00072,0.00076,0.00081,0.00084,0.00088,0.00094,0.00102,0.00113,0.00128,0.00146,0.00167,0.00192,0.00217
27,0.00058,0.00064,0.00071,0.00077,0.00083,0.00088,0.00094,0.00101,0.00111,0.00124,0.00141,0.00161,0.00185,0.00213,0.00241
28,0.00060,0.00066,0.00073,0.00080,0.00087,0.00094,0.00101,0.00111,0.00123,0.00138,0.00156,0.00178,0.00204,0.00235,0.00265
29,0.00063,0.00069,0.00076,0.00084,0.00093,0.00101,0.00111,0.00123,0.00137,0.00155,0.00175,0.00198,0.00226,0.00258,0.00291
30,0.00067,0.00074,0.00082,0.00090,0.00100,0.00111,0.00122,0.00137,0.00154,0.00174,0.00196,0.00221,0.00250,0.00284,0.00320
31,0.00071,0.00080,0.00088,0.00098,0.00109,0.00122,0.00136,0.00152,0.00173,0.00195,0.00219,0.00246,0.00277,0.00314,0.00353
32,0.00075,0.00085,0.00095,0.00106,0.00119,0.00134,0.00151,0.00170,0.00193,0.00218,0.00244,0.00274,0.00308,0.00348,0.00391
33,0.00077,0.00089,0.00101,0.00115,0.00131,0.00148,0.00168,0.00189,0.00214,0.00242,0.00271,0.00304,0.00343,0.00388,0.00436
34,0.00078,0.00093,0.00108,0.00125,0.00144,0.00164,0.00186,0.00210,0.00237,0.00267,0.00300,0.00337,0.00382,0.00433,0.00486
35,0.00080,0.00098,0.00116,0.00137,0.00158,0.00181,0.00205,0.00232,0.00262,0.00294,0.00331,0.00373,0.00424,0.00482,0.00542
36,0.00082,0.00104,0.00126,0.00150,0.00175,0.00200,0.00228,0.00257,0.00289,0.00324,0.00365,0.00412,0.00470,0.00536,0.00604
37,0.00087,0.00112,0.00138,0.00166,0.00194,0.00222,0.00252,0.00285,0.00320,0.00358,0.00403,0.00455,0.00519,0.00593,0.00670
38,0.00094,0.00123,0.00154,0.00185,0.00216,0.00246,0.00279,0.00316,0.00354,0.00396,0.00444,0.00501,0.00570,0.00652,0.00740
39,0.00103,0.00138,0.00172,0.00206,0.00239,0.00273,0.00309,0.00349,0.00392,0.00437,0.00489,0.00550,0.00625,0.00715,0.00815
40,0.00114,0.00154,0.00192,0.00230,0.00265,0.00301,0.00341,0.00385,0.00432,0.00483,0.00538,0.00603,0.00684,0.00782,0.00896
41,0.00125,0.00170,0.00214,0.00255,0.00293,0.00332,0.00374,0.00422,0.00475,0.00531,0.00591,0.00662,0.00749,0.00857,0.00985
42,0.00136,0.00187,0.00235,0.00280,0.00322,0.00364,0.00410,0.00462,0.00520,0.00582,0.00649,0.00728,0.00823,0.00941,0.01083
43,0.00147,0.00203,0.00256,0.00305,0.00351,0.00397,0.00446,0.00502,0.00563,0.00635,0.00711,0.00801,0.00907,0.01035,0.01190
44,0.00158,0.00219,0.00277,0.00331,0.00380,0.00430,0.00483,0.00542,0.00606,0.00689,0.00778,0.00881,0.01000,0.01140,0.01306
45,0.00170,0.00236,0.00299,0.00359,0.00412,0.00466,0.00523,0.00585,0.00653,0.00748,0.00851,0.00968,0.01102,0.01255,0.01434
46,0.00182,0.00253,0.00322,0.00389,0.00449,0.00507,0.00568,0.00635,0.00709,0.00813,0.00929,0.01061,0.01212,0.01380,0.01574
47,0.00194,0.00273,0.00349,0.00423,0.00492,0.00555,0.00620,0.00693,0.00780,0.00888,0.01015,0.01161,0.01329,0.01516,0.01729
48,0.00206,0.00295,0.00380,0.00462,0.00542,0.00613,0.00684,0.00764,0.00863,0.00973,0.01108,0.01267,0.01453,0.01662,0.01900
49,0.00219,0.00319,0.00414,0.00506,0.00597,0.00678,0.00759,0.00847,0.00953,0.01067,0.01209,0.01380,0.01585,0.01820,0.02087
50,0.00232,0.00346,0.00451,0.00553,0.00654,0.00747,0.00839,0.00936,0.01045,0.01166,0.01315,0.01500,0.01726,0.01988,0.02288
51,0.00246,0.00374,0.00491,0.00602,0.00712,0.00817,0.00919,0.01025,0.01138,0.01268,0.01427,0.01628,0.01875,0.02167,0.02502
52,0.00261,0.00404,0.00532,0.00652,0.00769,0.00883,0.00994,0.01108,0.01229,0.01371,0.01544,0.01763,0.02034,0.02356,0.02729
53,0.00277,0.00434,0.00573,0.00700,0.00824,0.00942,0.01059,0.01182,0.01317,0.01472,0.01664,0.01905,0.02201,0.02553,0.02964
54,0.00295,0.00465,0.00614,0.00748,0.00877,0.00996,0.01118,0.01251,0.01402,0.01574,0.01787,0.02055,0.02378,0.02759,0.03208
55,0.00314,0.00499,0.00659,0.00799,0.00931,0.01052,0.01178,0.01319,0.01489,0.01679,0.01917,0.02215,0.02567,0.02980,0.03471
56,0.00337,0.00537,0.00709,0.00856,0.00990,0.01113,0.01245,0.01395,0.01578,0.01790,0.02057,0.02386,0.02771,0.03221,0.03759
57,0.00365,0.00582,0.00767,0.00922,0.01057,0.01186,0.01326,0.01483,0.01672,0.01912,0.02208,0.02571,0.02994,0.03488,0.04080
58,0.00398,0.00636,0.00837,0.01001,0.01141,0.01279,0.01426,0.01589,0.01781,0.02046,0.02371,0.02769,0.03236,0.03784,0.04439
59,0.00437,0.00699,0.00918,0.01093,0.01244,0.01391,0.01545,0.01713,0.01912,0.02195,0.02547,0.02980,0.03498,0.04110,0.04835
60,0.00481,0.00769,0.01007,0.01195,0.01362,0.01517,0.01679,0.01852,0.02063,0.02360,0.02739,0.03210,0.03783,0.04466,0.05270
61,0.00532,0.00843,0.01100,0.01305,0.01487,0.01652,0.01822,0.02004,0.02230,0.02542,0.02951,0.03463,0.04096,0.04857,0.05744
62,0.00589,0.00918,0.01193,0.01420,0.01613,0.01790,0.01971,0.02167,0.02411,0.02745,0.03186,0.03743,0.04441,0.05282,0.06259
63,0.00652,0.01004,0.01296,0.01539,0.01738,0.01925,0.02118,0.02331,0.02598,0.02959,0.03437,0.04046,0.04815,0.05742,0.06814
64,0.00722,0.01105,0.01413,0.01661,0.01866,0.02062,0.02267,0.02499,0.02795,0.03188,0.03708,0.04375,0.05220,0.06237,0.07410
65,0.00799,0.01211,0.01535,0.01785,0.02001,0.02209,0.02430,0.02689,0.03021,0.03452,0.04017,0.04745,0.05666,0.06776,0.08053
66,0.00882,0.01313,0.01651,0.01910,0.02145,0.02374,0.02622,0.02918,0.03294,0.03769,0.04382,0.05171,0.06166,0.07363,0.08744
67,0.00973,0.01402,0.01750,0.02035,0.02302,0.02566,0.02855,0.03202,0.03634,0.04159,0.04822,0.05668,0.06729,0.08005,0.09488
68,0.01071,0.01481,0.01837,0.02159,0.02473,0.02792,0.03144,0.03560,0.04059,0.04640,0.05354,0.06248,0.07363,0.08706,0.10287
69,0.01177,0.01559,0.01922,0.02284,0.02659,0.03054,0.03491,0.03993,0.04569,0.05213,0.05976,0.06910,0.08066,0.09464,0.11139
70,0.01290,0.01633,0.02004,0.02409,0.02858,0.03348,0.03890,0.04494,0.05158,0.05870,0.06683,0.07648,0.08835,0.10278,0.12045

Table # ,2,,,,,,,,,,,,,,
Table Description:,1965-70 Modified Basic Table – Male. Basis: Age Nearest Birthday. Ultimate Age: 15. Maximum Ultimate Age: 99.,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00067,,,,,,,,,,,,,,
16,0.00081,,,,,,,,,,,,,,
17,0.00095,,,,,,,,,,,,,,
18,0.00107,,,,,,,,,,,,,,
19,0.00116,,,,,,,,,,,,,,
20,0.00119,,,,,,,,,,,,,,
21,0.00116,,,,,,,,,,,,,,
22,0.00113,,,,,,,,,,,,,,
23,0.00111,,,,,,,,,,,,,,
24,0.00110,,,,,,,,,,,,,,
25,0.00108,,,,,,,,,,,,,,
26,0.00107,,,,,,,,,,,,,,
27,0.00104,,,,,,,,,,,,,,
28,0.00109,,,,,,,,,,,,,,
29,0.00113,,,,,,,,,,,,,,
30,0.00118,,,,,,,,,,,,,,
31,0.00123,,,,,,,,,,,,,,
32,0.00125,,,,,,,,,,,,,,
33,0.00128,,,,,,,,,,,,,,
34,0.00133,,,,,,,,,,,,,,
35,0.00140,,,,,,,,,,,,,,
36,0.00150,,,,,,,,,,,,,,
37,0.00163,,,,,,,,,,,,,,
38,0.00179,,,,,,,,,,,,,,
39,0.00198,,,,,,,,,,,,,,
40,0.00220,,,,,,,,,,,,,,
41,0.00243,,,,,,,,,,,,,,
42,0.00268,,,,,,,,,,,,,,
43,0.00296,,,,,,,,,,,,,,
44,0.00327,,,,,,,,,,,,,,
45,0.00362,,,,,,,,,,,,,,
46,0.00399,,,,,,,,,,,,,,
47,0.00442,,,,,,,,,,,,,,
48,0.00492,,,,,,,,,,,,,,
49,0.00551,,,,,,,,,,,,,,
50,0.00617,,,,,,,,,,,,,,
51,0.00684,,,,,,,,,,,,,,
52,0.00750,,,,,,,,,,,,,,
53,0.00823,,,,,,,,,,,,,,
54,0.00905,,,,,,,,,,,,,,
55,0.01003,,,,,,,,,,,,,,
56,0.01117,,,,,,,,,,,,,,
57,0.01242,,,,,,,,,,,,,,
58,0.01373,,,,,,,,,,,,,,
59,0.01510,,,,,,,,,,,,,,
60,0.01650,,,,,,,,,,,,,,
61,0.01801,,,,,,,,,,,,,,
62,0.01969,,,,,,,,,,,,,,
63,0.02163,,,,,,,,,,,,,,
64,0.02381,,,,,,,,,,,,,,
65,0.02617,,,,,,,,,,,,,,
66,0.02873,,,,,,,,,,,,,,
67,0.03140,,,,,,,,,,,,,,
68,0.03421,,,,,,,,,,,,,,
69,0.03699,,,,,,,,,,,,,,
70,0.03992,,,,,,,,,,,,,,
71,0.04346,,,,,,,,,,,,,,
72,0.04747,,,,,,,,,,,,,,
73,0.05173,,,,,,,,,,,,,,
74,0.05643,,,,,,,,,,,,,,
75,0.06164,,,,,,,,,,,,,,
76,0.06741,,,,,,,,,,,,,,
77,0.07371,,,,,,,,,,,,,,
78,0.08063,,,,,,,,,,,,,,
79,0.08800,,,,,,,,,,,,,,
80,0.09560,,,,,,,,,,,,,,
81,0.10329,,,,,,,,,,,,,,
82,0.11163,,,,,,,,,,,,,,
83,0.12051,,,,,,,,,,,,,,
84,0.13063,,,,,,,,,,,,,,
85,0.14176,,,,,,,,,,,,,,
86,0.15397,,,,,,,,,,,,,,
87,0.16726,,,,,,,,,,,,,,
88,0.18142,,,,,,,,,,,,,,
89,0.19363,,,,,,,,,,,,,,
90,0.20296,,,,,,,,,,,,,,
91,0.21032,,,,,,,,,,,,,,
92,0.21776,,,,,,,,,,,,,,
93,0.23007,,,,,,,,,,,,,,
94,0.24883,,,,,,,,,,,,,,
95,0.26793,,,,,,,,,,,,,,
96,0.31998,,,,,,,,,,,,,,
97,0.43760,,,,,,,,,,,,,,
98,0.65341,,,,,,,,,,,,,,
99,1.00000,,,,,,,,,,,,,,
