Table Name:,"1955-60 Basic Table - Female, ANB",,,,,,,,,,,,,,
Table Identity:,354,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,
Provider Name:,Roger Scott Lumsden,,,,,,,,,,,,,,
Table Reference:,"Committee on Mortality, “II. 1955-1960 Basic Tables”, Transaction of the Society of Actuaries - 1962 Reports, Society of Actuaries (1962). Accessed: March, 2013 from http://www.soa.org/library/research/transactions-reports-of-mortality-moribidity-and-experience/1960-69/1962/january/tsr623.aspx",,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,
Table Description:,1955-60 Basic Table – Female. Basis: Age Nearest Birthday. Minimum Select Age: 10-14. Maximum Select Age: 70 and Over. Minimum Ultimate Age: 15. Maximum Ultimate Age: 95,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,
Comments:,"Study Data: Sixteen companies contributed data of which 14 contributed to sex-distinct experience for the select period while only six companies were able to contribute to the sex-distinct ultimate experience. Select period rates are based on the experience of the first 15 policy years between 1955 and 1960 policy anniversaries; ultimate experience by sex was available only between 1957 and 1960 policy anniversaries. For the younger issue age groups, both medical and nonmedical issues were included to obtain a larger volume of data. The ultimate tables at all ages are based on the experience under medical and nonmedical issues combined. Only the select tables for issue ages 25 and over are based on the experience under medical issues exclusively. It should be noted that as the select and ultimate tables were derived from different bodies of data and underwritten in different periods, that the ultimate rates do not necessarily represent the level to which the select rates will rise after the effects of selection have worn off. Methodology: The basic formula used in the graduation of the select tables was a Whittaker-Henderson second difference Type A formula for age groups 10-14 to 65-69. Because of the small amount of data available, age group 70 and over was graduated separately. Where necessary, the graduated rates were further adjusted empirically and by linear transformations to prevent them from exceeding the ultimate rates and to improve the fit. These adjustments occurred mainly at the younger ages. For ages 70 and over, rates were extrapolated from ratios for age groups 60-64 and 65-69. These ratios were graduated graphically and applied to the ultimate rates. The resulting rates were lowered at the later durations to improve the fit. For the sex-distinct tables, the same techniques were used for the males with final adjustments to make the male rates higher than the rates for both sexes combined in the corresponding age-duration cells. For the females however, due to the small amount of claims, it was necessary to give greater emphasis to smoothness than in either the combined or male table. As it was impossible to graduate the crude female data for ages 70 and above due to the virtual non-existence of claims, the rates were obtained by applying percentages ranging from 50 per cent in the first policy year to 70 per cent in the 15th policy year to the male rates for these older ages. Select rates were developed in quinquennial age groups. The select table is coded with the value applying to the central age in the range. Data Transcription Errors: None. Data Certified: 03/2013",,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,
